Date,Open,High,Low,Close,Adj Close,Volume
2013-03-19,273,273,261.625,265.549988,228.175873,251878
2013-03-20,265.075012,272.5,261.625,264.575012,227.338089,247966
2013-03-21,265.5,269.475006,262.024994,265.700012,228.30481,124528
2013-03-22,265.274994,267.125,259.600006,261.299988,224.524048,179808
2013-03-25,261.5,263,256,260.274994,223.643295,162582
2013-03-26,257.524994,261.975006,255.550003,258.25,221.903305,22006
2013-03-28,259.975006,269.024994,257.024994,262.475006,225.533661,67604
2013-04-01,268.950012,270,260.024994,263.725006,226.607727,45902
2013-04-02,262.049988,266.950012,262.049988,264,226.84404,188644
2013-04-03,264,268,259.274994,259.975006,223.385559,49186
2013-04-04,259.524994,259.524994,252,256.5,220.399612,51930
2013-04-05,257.5,260,255,258.325012,221.967773,17202
2013-04-08,265.5,265.5,256.200012,259.5,222.977386,11738
2013-04-09,263.350006,263.350006,259.100006,260.125,223.514404,115644
2013-04-10,262.424988,264.75,259.600006,262.475006,225.533661,67856
2013-04-11,263.5,269.950012,262.5,268,230.281067,221608
2013-04-12,267.5,267.5,265,267.274994,229.658096,16512
2013-04-15,269.75,269.975006,262.5,263.174988,226.135117,43602
2013-04-16,260.149994,267.450012,260.149994,265.924988,228.498093,24098
2013-04-17,267.5,274.299988,265.350006,270.375,232.321808,40676
2013-04-18,269.5,274.899994,269.100006,273.100006,234.66333,40562
2013-04-22,271.75,283.350006,271.75,282.299988,242.568436,104402
2013-04-23,282.5,286.375,275.774994,278.274994,239.109909,80650
2013-04-25,275.5,288.424988,275.5,281.825012,242.160324,1277212
2013-04-26,282.5,285.475006,280,283.100006,243.255905,90976
2013-04-29,282.024994,283,280.25,281.350006,241.752182,62364
2013-04-30,282.5,291.950012,282.5,289.924988,249.120285,127618
2013-05-02,283.5,292.774994,280.774994,287.350006,246.907776,86380
2013-05-03,288,289.975006,281.674988,286.350006,246.048492,137970
2013-05-06,286,290,285.524994,288.600006,247.98175,141474
2013-05-07,288.024994,291.325012,285.950012,288.299988,247.723969,92652
2013-05-08,288.25,292.524994,281.575012,285.149994,245.017303,353396
2013-05-09,284.549988,290,281.975006,288.825012,248.175095,257930
2013-05-10,287.5,289,278.850006,285.549988,245.361053,61840
2013-05-13,282.5,288.475006,278.075012,280.174988,240.742508,94912
2013-05-14,278.5,286,278.5,282.375,242.632874,245520
2013-05-15,280.625,289.950012,280.625,285.274994,245.124741,666212
2013-05-16,287.5,292.125,284.200012,285.25,245.103271,106910
2013-05-17,285,287.5,281.625,285.350006,245.189194,273282
2013-05-20,286.524994,289.950012,283.649994,284.424988,244.394333,188706
2013-05-21,285,286.950012,280.5,282.524994,242.76181,234138
2013-05-22,284,285.549988,279.049988,282.924988,243.105469,251406
2013-05-23,282.5,289.375,280,287.674988,247.186981,210136
2013-05-24,288,290.5,285.924988,287.399994,246.950699,95078
2013-05-27,308.5,341.5,308.5,332.825012,285.982483,3455274
2013-05-28,334.924988,349.350006,326,339.475006,291.696472,1708820
2013-05-29,340.799988,346.450012,336,341.700012,293.608398,693988
2013-05-30,341.75,354.399994,337.725006,350,300.740204,433594
2013-05-31,352.5,365,351,362.100006,311.137268,562080
2013-06-03,362.5,375.950012,335.075012,347.375,298.48468,1237316
2013-06-04,346.5,355.450012,336.549988,338.924988,291.223938,716798
2013-06-05,338.5,344.975006,330.075012,332.375,285.595825,470918
2013-06-06,332.350006,348.600006,324.5,346.049988,297.34613,668000
2013-06-07,349.125,354.174988,342.75,345.125,296.551331,383680
2013-06-10,345,349,341.149994,345.875,297.19577,319356
2013-06-11,349.975006,351,344.524994,346.375,297.625336,790394
2013-06-12,343,347.5,340.5,342.100006,293.952087,168954
2013-06-13,342,343.475006,333.149994,337.549988,290.04245,225142
2013-06-14,339.850006,345,339.75,341.325012,293.286102,563194
2013-06-17,344.75,344.75,336.125,337.125,289.677277,98148
2013-06-18,337.25,342.5,334.024994,335.100006,287.937286,189010
2013-06-19,336,336,332.524994,333.799988,286.820221,213324
2013-06-20,334,339,329.024994,335.174988,288.00174,198688
2013-06-21,337.5,337.5,330.049988,331.024994,284.435791,85674
2013-06-24,331.5,334,323.100006,325.299988,279.516571,73894
2013-06-25,325,328.450012,322.674988,323.774994,278.206177,75740
2013-06-26,324,331.149994,322.600006,323.75,278.184692,69566
2013-06-27,332.200012,332.200012,325.350006,330.299988,283.812836,143384
2013-06-28,332,339.200012,328.825012,337.149994,289.69873,621320
2013-07-01,336,347.350006,332.524994,343.625,295.26239,311070
2013-07-02,345,345,337.5,341.375,293.329193,69688
2013-07-03,343.5,343.5,338.5,338.649994,290.987671,30888
2013-07-04,337.5,346.75,337.5,343.924988,295.520203,64428
2013-07-05,346,349,333.5,335.5,288.280975,293564
2013-07-08,335,339.350006,331,334.625,287.529083,53392
2013-07-09,336,339.5,335.024994,337.825012,290.278778,105612
2013-07-10,337.899994,343.75,336.274994,339.75,291.932831,80718
2013-07-11,340.524994,345.5,338.200012,339.399994,291.63208,113126
2013-07-12,337.5,342.475006,337.125,338.924988,291.223938,46592
2013-07-15,340,342.5,339.149994,340.075012,292.212097,152726
2013-07-16,338.375,341.5,336.299988,339.700012,291.889862,112304
2013-07-17,340,364.5,337.225006,350.024994,300.761688,1215276
2013-07-18,350.024994,360.5,349.5,357.125,306.862457,418008
2013-07-19,358.625,360.475006,353.950012,355.024994,305.057983,230244
2013-07-22,358,368.475006,354.25,359.975006,309.31131,268120
2013-07-23,359.450012,366,356.5,363.600006,319.98175,234966
2013-07-24,363.600006,373.5,360.5,362.799988,319.27774,280656
2013-07-25,364.424988,370,360.899994,362.075012,318.63974,122640
2013-07-26,363,364.850006,353.350006,356.774994,313.975525,189864
2013-07-29,355,359.5,351.399994,358.25,315.27356,95568
2013-07-30,359.5,361.475006,347.5,349.899994,307.925232,118604
2013-07-31,345.024994,352,339.049988,349.549988,307.617188,85466
2013-08-01,349.5,353.5,346.174988,351.625,309.443329,106370
2013-08-02,352.524994,356.975006,348.5,354.200012,311.709381,94464
2013-08-05,356,369.975006,351.950012,367.524994,323.435883,192230
2013-08-06,365,366,355.274994,361.575012,318.199707,111748
2013-08-07,368.5,368.5,349,352.149994,309.905334,333516
2013-08-08,349.075012,354.325012,341.049988,347.075012,305.439178,54590
2013-08-12,349.5,386.5,347.625,367.5,323.41394,2989026
2013-08-13,372,382.399994,370,373.649994,328.826141,1522498
2013-08-14,374.5,380.5,371,376.825012,331.620239,385922
2013-08-16,372,379.950012,366.850006,371.375,326.824066,352952
2013-08-19,371.325012,372.5,360,364.024994,320.355774,180430
2013-08-20,360.950012,360.950012,346.125,350.049988,308.057251,269034
2013-08-21,352.049988,360.399994,341.5,343.399994,302.204987,283326
2013-08-22,340.625,357.5,337.5,354.725006,312.171417,143452
2013-08-23,356,360.924988,355.024994,357.274994,314.415558,294568
2013-08-26,358,360.524994,351.75,353.125,310.763336,78182
2013-08-27,352,352,342.5,345.299988,303.877106,107328
2013-08-28,345,349,328.899994,345.899994,304.40509,121756
